year,month,day,hour,member,weekend,season,temperature,dewpoint,humidity,windspeed,windgust,pressure,precip,precipaccum,weather,rental
2016,10,3,7,812,0,fall,17.78,62,93,5,0,30,0,0,1,855
2016,10,3,8,1080,0,fall,18.89,63,90,7,0,30,0,0,2,1151
2016,10,3,9,505,0,fall,20,61,78,9,0,30,0,0,2,599
2016,10,3,10,230,0,fall,21.67,60,68,12,0,30,0,0,1,340
2016,10,3,11,270,0,fall,22.78,59,61,9,0,30,0,0,1,443
2016,10,3,12,348,0,fall,23.89,57,53,12,0,30,0,0,1,582
2016,10,3,13,350,0,fall,24.44,56,50,6,17,30,0,0,1,556
2016,10,3,14,298,0,fall,24.44,54,46,14,0,30,0,0,1,519
2016,10,3,15,405,0,fall,23.89,51,43,10,16,30,0,0,1,607
2016,10,3,16,731,0,fall,25,54,45,7,0,30,0,0,1,928
2016,10,3,17,1444,0,fall,24.44,54,46,10,0,30,0,0,1,1705
2016,10,3,18,1215,0,fall,23.89,54,48,9,0,30,0,0,1,1448
2016,10,3,19,749,0,fall,21.67,54,55,7,0,30,0,0,1,869
2016,10,3,20,403,0,fall,21.11,56,61,7,0,30.1,0,0,1,497
2016,10,3,21,305,0,fall,20,57,68,6,0,30.1,0,0,1,349
2016,10,3,22,163,0,fall,18.89,58,75,6,0,30.1,0,0,1,224
2016,10,3,23,88,0,fall,18.89,60,81,5,0,30.1,0,0,1,127
2016,10,4,0,34,0,fall,17.22,58,84,13,0,30.3,0,0,1,38
2016,10,4,1,12,0,fall,17.22,58,84,0,0,30.1,0,0,1,17
2016,10,4,2,4,0,fall,17.22,59,87,0,0,30.1,0,0,1,11
2016,10,4,3,5,0,fall,16.11,58,90,3,0,30.1,0,0,1,6
2016,10,4,4,16,0,fall,16.11,57,87,5,0,30.1,0,0,1,18
2016,10,4,5,95,0,fall,15,56,90,6,0,30.1,0,0,1,100
2016,10,4,6,342,0,fall,15,56,90,8,0,30.2,0,0,1,352
2016,10,4,7,975,0,fall,15,56,90,6,0,30.2,0,0,1,1018
2016,10,4,8,1325,0,fall,15.56,57,90,5,0,30.2,0,0,1,1407
2016,10,4,9,577,0,fall,17.78,58,80,10,0,30.2,0,0,1,680
2016,10,4,10,235,0,fall,18.89,59,78,8,0,30.2,0,0,1,382
2016,10,4,11,276,0,fall,19.81,61.67,81,9,0,30.2,0,0,1,417
2016,10,4,12,389,0,fall,21.11,61,73,8,0,30.2,0,0,1,559
2016,10,4,13,346,0,fall,22.22,61,68,9,0,30.2,0,0,2,517
2016,10,4,14,320,0,fall,22.78,59,61,13,0,30.2,0,0,1,529
2016,10,4,15,438,0,fall,22.22,61,68,16,0,30.2,0,0,2,600
2016,10,4,16,748,0,fall,21.67,60,68,15,0,30.2,0,0,2,942
2016,10,4,17,1486,0,fall,22.22,60,66,14,0,30.2,0,0,1,1715
2016,10,4,18,1197,0,fall,21.11,59,68,14,0,30.2,0,0,1,1399
2016,10,4,19,676,0,fall,20,60,76,13,0,30.2,0,0,2,800
2016,10,4,20,484,0,fall,18.89,59,78,14,0,30.2,0,0,1,563
2016,10,4,21,284,0,fall,18.33,58,78,10,0,30.3,0,0,1,356
2016,10,4,22,196,0,fall,17.78,58,80,8,0,30.3,0,0,1,242
2016,10,4,23,97,0,fall,17.22,58,84,12,0,30.3,0,0,1,126
2016,10,5,0,35,0,fall,17.22,57,81,5,0,30.3,0,0,1,44
2016,10,5,1,9,0,fall,16.67,58,86,10,0,30.3,0,0,1,9
2016,10,5,2,10,0,fall,16.11,58,90,7,0,30.3,0,0,1,13
2016,10,5,3,2,0,fall,15.56,57,90,8,0,30.3,0,0,1,2
2016,10,5,4,16,0,fall,15.56,57,90,8,0,30.3,0,0,1,16
2016,10,5,5,93,0,fall,15,57,93,8,0,30.3,0,0,1,100
2016,10,5,6,349,0,fall,14.44,56,93,7,0,30.3,0,0,1,367
2016,10,5,7,1035,0,fall,15,57,93,6,0,30.3,0,0,1,1078
2016,10,5,8,1231,0,fall,15.56,56,86,10,0,30.3,0,0,1,1302
2016,10,5,9,558,0,fall,16.67,56,80,13,0,30.3,0,0,1,624
2016,10,5,10,253,0,fall,17.78,55,72,15,0,30.3,0,0,1,359
2016,10,5,11,294,0,fall,17.78,55,72,10,0,30.3,0,0,2,425
2016,10,5,12,384,0,fall,20.56,56,63,10,0,30.3,0,0,1,493
2016,10,5,13,385,0,fall,20.56,55,61,7,0,30.3,0,0,2,512
2016,10,5,14,333,0,fall,20,54,61,8,0,30.3,0,0,2,469
2016,10,5,15,426,0,fall,22.22,56,57,9,0,30.2,0,0,2,586
2016,10,5,16,809,0,fall,21.11,54,57,5,0,30.2,0,0,2,979
2016,10,5,17,1450,0,fall,20.56,56,63,8,0,30.2,0,0,2,1680
2016,10,5,18,1185,0,fall,20,54,61,7,0,30.2,0,0,2,1357
2016,10,5,19,754,0,fall,18.89,55,68,7,0,30.2,0,0,1,845
2016,10,5,20,477,0,fall,18.89,56,70,8,0,30.3,0,0,1,550
2016,10,5,21,350,0,fall,18.89,55,68,5,0,30.3,0,0,1,393
2016,10,5,22,180,0,fall,18.89,56,70,8,0,30.3,0,0,2,235
2016,10,5,23,117,0,fall,17.5,58,82,9.5,0,30.3,0,0,2,152
2016,10,6,0,29,0,fall,18.89,61,84,5,0,30.3,0,0,2,49
2016,10,6,1,18,0,fall,16.11,58,90,8,0,30.3,0,0,1,19
2016,10,6,2,6,0,fall,16.11,58,90,5.5,0,30.3,0,0,2,8
2016,10,6,3,2,0,fall,15.83,58,91.5,6.5,0,30.3,0,0,2,2
2016,10,6,4,10,0,fall,16.11,58,90,7,0,30.2,0,0,2,14
2016,10,6,5,87,0,fall,16.11,58,90,8,0,30.3,0,0,2,90
2016,10,6,6,303,0,fall,16.11,58,90,9,0,30.3,0,0,2,309
2016,10,6,7,907,0,fall,16.11,58,90,9,0,30.3,0,0,2,936
2016,10,6,8,1235,0,fall,16.11,58,90,10,0,30.3,0,0,2,1321
2016,10,6,9,515,0,fall,16.67,57,84,12,0,30.3,0,0,2,560
2016,10,6,10,252,0,fall,17.78,58,80,8,0,30.3,0,0,2,356
2016,10,6,11,267,0,fall,18.06,59.5,84,9.5,0,30.3,0,0,2,406
2016,10,6,12,381,0,fall,18.52,60,83,8.67,0,30.3,0,0,2,530
2016,10,6,13,362,0,fall,19.44,60,79,7,0,30.3,0,0,2,518
2016,10,6,14,304,0,fall,20.56,60,73,5,0,30.3,0,0,2,462
2016,10,6,15,404,0,fall,20.56,60,73,7,0,30.3,0,0,2,611
2016,10,6,16,735,0,fall,20.56,60,73,6,0,30.3,0,0,2,947
2016,10,6,17,1346,0,fall,20.56,60,73,7.5,0,30.3,0,0,2,1571
2016,10,6,18,1179,0,fall,21.11,60,71,6,0,30.3,0,0,2,1400
2016,10,6,19,707,0,fall,20,60,76,5,0,30.3,0,0,1,845
2016,10,6,20,457,0,fall,19.44,60,79,8,0,30.3,0,0,2,569
2016,10,6,21,330,0,fall,18.89,60,81,6,0,30.3,0,0,2,390
2016,10,6,22,227,0,fall,18.89,60,81,5,0,30.3,0,0,2,299
2016,10,6,23,121,0,fall,18.33,61,87,6,0,30.3,0,0,1,150
2016,10,7,0,64,0,fall,18.89,64,93,8,0,30.1,0,0,2,83
2016,10,7,1,26,0,fall,18.33,61,87,3,0,30.3,0,0,2,35
2016,10,7,2,8,0,fall,18.33,60,84,6,0,30.2,0,0,2,17
2016,10,7,3,8,0,fall,17.22,60,90,8,0,30.2,0,0,1,9
2016,10,7,4,18,0,fall,16.67,60,93,7,0,30.2,0,0,1,20
2016,10,7,5,73,0,fall,16.67,60,93,6,0,30.2,0,0,1,75
2016,10,7,6,255,0,fall,16.67,60,93,7,0,30.2,0,0,2,264
2016,10,7,7,789,0,fall,16.67,60,93,5,0,30.2,0,0,2,851
2016,10,7,8,1113,0,fall,17.22,61,93,6,0,30.2,0,0,2,1209
2016,10,7,9,525,0,fall,17.78,61.5,91.5,12.5,0,30.2,0,0,2,646
2016,10,7,10,261,0,fall,18.06,62,91.5,10.5,0,30.2,0,0,2,392
2016,10,7,11,320,0,fall,18.33,63,93,7,0,30.2,0,0,2,522
2016,10,7,12,443,0,fall,19.17,63,87.5,6,0,30.2,0,0,2,668
2016,10,7,13,450,0,fall,20.28,63,82.5,6.5,0,30.2,0,0,2,726
2016,10,7,14,442,0,fall,21.11,63,78,8,0,30.2,0,0,2,738
2016,10,7,15,583,0,fall,21.67,64,78,10,0,30.2,0,0,2,921
2016,10,7,16,894,0,fall,22.22,64,76,6,0,30.2,0,0,2,1224
2016,10,7,17,1173,0,fall,22.5,64.5,75.5,8.5,0,30.1,0,0,2,1507
2016,10,7,18,822,0,fall,22.22,65,78,8,0,30.1,0,0,2,1092
2016,10,7,19,511,0,fall,21.67,64,78,7,0,30.1,0,0,2,682
2016,10,7,20,338,0,fall,21.11,64,81,8,0,30.1,0,0,2,467
2016,10,7,21,354,0,fall,20.56,64,84,6,0,30.1,0,0,2,499
2016,10,7,22,229,0,fall,20,64,87,7,0,30.1,0,0,2,348
2016,10,7,23,138,0,fall,19.44,64,90,7,0,30.1,0,0,2,200
2016,10,8,0,125,1,fall,19.44,64,90,17,0,29.9,0,0,2,171
2016,10,8,1,75,1,fall,18.89,64,93,6,0,30.1,0,0,2,114
2016,10,8,2,51,1,fall,18.89,64,93,8,0,30.1,0,0,2,76
2016,10,8,3,19,1,fall,18.89,64,93,7.5,0,30.1,0,0,2,27
2016,10,8,4,14,1,fall,18.89,64,93,8,0,30.1,0,0,2,17
2016,10,8,5,17,1,fall,18.89,64,93,9,0,30.1,0,0,2,21
2016,10,8,6,40,1,fall,18.33,64,97,10,0,30.1,0,0,2,49
2016,10,8,7,109,1,fall,18.89,64,93,7,0,30.1,0,0,2,136
2016,10,8,8,230,1,fall,18.33,64,97,6,0,30.1,0,0,2,277
2016,10,8,9,367,1,fall,18.89,64,93,7,0,30.1,0,0,2,490
2016,10,8,10,342,1,fall,18.89,64,93,7,0,30.1,0,0,3,463
2016,10,8,11,236,1,fall,18.89,65,96,9,0,30.1,0,0,3,323
2016,10,8,12,152,1,fall,19.44,65,93,10,0,30,0,0,3,234
2016,10,8,13,125,1,fall,19.44,66,97,9,0,30,0.1,0,3,187
2016,10,8,14,99,1,fall,19.44,66,97,9.5,0,30,0,0,3,131
2016,10,8,15,122,1,fall,19.44,67,100,7.5,0,30,0.1,0,3,171
2016,10,8,16,191,1,fall,19.44,65,93,7,0,30,0,0,3,312
2016,10,8,17,214,1,fall,19.44,65,93,9,0,30,0,0,3,344
2016,10,8,18,262,1,fall,18.89,65,96,9.33,0,30,0,0,2,369
2016,10,8,19,197,1,fall,18.89,65,96,9,0,30,0,0,2,298
2016,10,8,20,186,1,fall,18.89,64,93,9,0,30,0,0,2,256
2016,10,8,21,169,1,fall,18.89,64,93,10.5,0,29.95,0,0,2,252
2016,10,8,22,149,1,fall,19.17,65,94.5,9.5,0,29.95,0,0,2,206
2016,10,8,23,136,1,fall,19.44,64.67,92,12.67,0,30,0,0,2,201
2016,10,9,0,85,1,fall,13.89,43,59,9,0,30.2,0,0,1,129
2016,10,9,1,65,1,fall,18.89,63,90,14.5,0,29.9,0,0,3,81
2016,10,9,2,58,1,fall,18.33,61,87,22,0,29.9,0,0,3,79
2016,10,9,3,17,1,fall,17.5,58.5,84,17,0,29.9,0,0,3,24
2016,10,9,4,5,1,fall,15.56,54,80,20,29,29.9,0,0,3,15
2016,10,9,5,5,1,fall,14.44,53,84,20,26,29.9,0,0,3,11
2016,10,9,6,26,1,fall,14.44,51,78,18,29,29.9,0,0,3,30
2016,10,9,7,84,1,fall,13.89,49,74,16,30,30,0,0,3,98
2016,10,9,8,152,1,fall,13.89,46,67,25,36,30,0,0.3,2,199
2016,10,9,9,270,1,fall,13.89,45,64,23,30,30,0,0,2,392
2016,10,9,10,379,1,fall,13.89,45,64,21,32,30,0,0,2,579
2016,10,9,11,448,1,fall,14.44,44,60,29,38,30,0,0,2,730
2016,10,9,12,607,1,fall,16.67,44,52,32,43,30,0,0,1,990
2016,10,9,13,411,1,fall,18.33,45,48,25,31,30,0,0,1,745
2016,10,9,14,425,1,fall,19.44,45,45,23,32,30,0,0,1,875
2016,10,9,15,462,1,fall,20,43,40,22,30,30,0,0,1,926
2016,10,9,16,521,1,fall,20.56,43,39,29,40,30,0,0,1,1010
2016,10,9,17,574,1,fall,19.44,44,44,24,32,30.1,0,0,1,1013
2016,10,9,18,467,1,fall,18.33,42,43,26,38,30.1,0,0,1,756
2016,10,9,19,347,1,fall,17.22,42,46,18,28,30.1,0,0,1,490
2016,10,9,20,257,1,fall,16.11,42,50,15,24,30.1,0,0,1,370
2016,10,9,21,102,1,fall,15,42,53,13,0,30.1,0,0,1,132
2016,10,9,22,126,1,fall,14.44,42,56,8,0,30.2,0,0,1,178
2016,10,9,23,129,1,fall,13.89,42,57,9,0,30.2,0,0,1,174
2016,10,10,0,55,0,fall,11.67,44,71,5,0,30.4,0,0,1,69
2016,10,10,1,27,0,fall,12.78,42,62,10,0,30.2,0,0,1,40
2016,10,10,2,16,0,fall,11.67,42,66,10,0,30.2,0,0,1,21
2016,10,10,3,9,0,fall,12.22,40,59,16,0,30.2,0,0,1,10
2016,10,10,4,11,0,fall,10.56,41,68,10,0,30.2,0,0,1,12
2016,10,10,5,31,0,fall,11.11,39,61,18,23,30.2,0,0,1,35
2016,10,10,6,117,0,fall,10.56,38,61,13,23,30.3,0,0,1,123
2016,10,10,7,276,0,fall,10,38,63,12,0,30.3,0,0,1,292
2016,10,10,8,525,0,fall,10,38,63,12,0,30.3,0,0,1,571
2016,10,10,9,368,0,fall,11.67,39,59,14,21,30.3,0,0,1,455
2016,10,10,10,298,0,fall,12.78,38,53,16,0,30.3,0,0,1,471
2016,10,10,11,358,0,fall,13.89,38,49,16,23,30.4,0,0,1,578
2016,10,10,12,411,0,fall,15.56,38,44,18,23,30.4,0,0,1,721
2016,10,10,13,462,0,fall,16.67,38,41,10,0,30.3,0,0,1,780
2016,10,10,14,501,0,fall,17.78,37,37,13,0,30.3,0,0,1,890
2016,10,10,15,481,0,fall,18.33,35,33,12,21,30.3,0,0,1,833
2016,10,10,16,562,0,fall,18.89,35,32,14,0,30.3,0,0,1,912
2016,10,10,17,821,0,fall,18.89,36,33,10,0,30.3,0,0,1,1134
2016,10,10,18,683,0,fall,17.78,36,35,13,0,30.3,0,0,1,894
2016,10,10,19,513,0,fall,15.56,37,42,7,0,30.3,0,0,1,665
2016,10,10,20,300,0,fall,15,39,48,6,0,30.3,0,0,1,371
2016,10,10,21,208,0,fall,14.44,38,47,7,0,30.4,0,0,1,267
2016,10,10,22,163,0,fall,13.33,42,60,0,0,30.4,0,0,1,201
2016,10,10,23,52,0,fall,11.67,45,74,5,0,30.4,0,0,1,70
2016,10,11,0,22,0,fall,13.33,48,75,0,0,30.4,0,0,1,27
2016,10,11,1,11,0,fall,11.11,43,71,5,0,30.4,0,0,1,15
2016,10,11,2,5,0,fall,10,44,80,6,0,30.4,0,0,1,6
2016,10,11,3,5,0,fall,10,44,80,6,0,30.4,0,0,1,8
2016,10,11,4,12,0,fall,9.44,41,74,6,0,30.4,0,0,1,16
2016,10,11,5,78,0,fall,8.89,41,77,6,0,30.4,0,0,1,82
2016,10,11,6,265,0,fall,7.78,41,83,6,0,30.4,0,0,1,275
2016,10,11,7,812,0,fall,7.78,41,83,5,0,30.4,0,0,1,837
2016,10,11,8,1059,0,fall,9.44,42,77,6,0,30.4,0,0,1,1106
2016,10,11,9,468,0,fall,11.67,44,71,5,0,30.4,0,0,1,530
2016,10,11,10,227,0,fall,12.78,43,64,7,0,30.5,0,0,1,333
2016,10,11,11,275,0,fall,14.44,44,60,5,0,30.5,0,0,2,393
2016,10,11,12,355,0,fall,16.11,43,52,3,0,30.5,0,0,2,504
2016,10,11,13,355,0,fall,17.22,38,40,0,0,30.4,0,0,2,472
2016,10,11,14,311,0,fall,18.89,41,40,0,0,30.4,0,0,2,481
2016,10,11,15,392,0,fall,20,42,39,0,0,30.4,0,0,2,559
2016,10,11,16,798,0,fall,19.44,41,39,3,0,30.4,0,0,2,1000
2016,10,11,17,1533,0,fall,18.89,43,43,0,0,30.4,0,0,2,1780
2016,10,11,18,1145,0,fall,17.78,49,58,9,0,30.4,0,0,2,1322
2016,10,11,19,590,0,fall,16.67,48,60,7,0,30.4,0,0,2,694
2016,10,11,20,373,0,fall,15.56,49,67,3,0,30.4,0,0,2,426
2016,10,11,21,281,0,fall,15,50,72,5,0,30.4,0,0,2,324
2016,10,11,22,218,0,fall,14.44,50,75,8,0,30.4,0,0,2,251
2016,10,11,23,69,0,fall,12.78,49,80,0,0,30.4,0,0,1,88
2016,10,12,0,26,0,fall,14.44,55,90,5,0,30.2,0,0,1,28
2016,10,12,1,9,0,fall,12.22,49,83,0,0,30.4,0,0,1,13
2016,10,12,2,3,0,fall,12.78,51,86,3,0,30.4,0,0,1,6
2016,10,12,3,4,0,fall,11.67,50,89,5,0,30.4,0,0,1,6
2016,10,12,4,9,0,fall,11.11,50,93,6,0,30.3,0,0,1,9
2016,10,12,5,77,0,fall,10.56,50,96,6,0,30.3,0,0,1,81
2016,10,12,6,313,0,fall,10.56,49,92,5,0,30.3,0,0,2,326
2016,10,12,7,830,0,fall,10.56,49,92,7,0,30.3,0,0,2,865
2016,10,12,8,1202,0,fall,11.11,50,93,3,0,30.3,0,0,2,1287
2016,10,12,9,478,0,fall,12.78,51,86,5,0,30.4,0,0,2,547
2016,10,12,10,233,0,fall,15,53.5,82,3,0,30.4,0,0,2,345
2016,10,12,11,267,0,fall,16.67,55,78,3,0,30.3,0,0,2,406
2016,10,12,12,340,0,fall,17.78,50,60,5,0,30.3,0,0,2,448
2016,10,12,13,365,0,fall,18.89,53,63,7,0,30.3,0,0,2,511
2016,10,12,14,304,0,fall,19.44,53,61,3,0,30.3,0,0,2,464
2016,10,12,15,392,0,fall,20,53,59,3,0,30.2,0,0,2,565
2016,10,12,16,726,0,fall,20.56,54,58,3,0,30.2,0,0,2,905
2016,10,12,17,1449,0,fall,21.11,52,53,0,0,30.2,0,0,2,1671
2016,10,12,18,1183,0,fall,19.44,55,66,7,0,30.2,0,0,2,1363
2016,10,12,19,641,0,fall,17.78,53,67,7,0,30.2,0,0,1,760
2016,10,12,20,427,0,fall,17.22,53,70,3,0,30.2,0,0,1,492
2016,10,12,21,313,0,fall,16.67,57,84,0,0,30.2,0,0,1,359
2016,10,12,22,200,0,fall,15.56,56,86,0,0,30.2,0,0,1,236
2016,10,12,23,87,0,fall,15,56,90,0,0,30.2,0,0,1,104
2016,10,13,0,40,0,fall,13.89,44,62,14,0,30.2,0,0,1,50
2016,10,13,1,11,0,fall,13.89,55,93,3,0,30.1,0,0,1,17
2016,10,13,2,5,0,fall,13.89,55,93,3,0,30.1,0,0,1,9
2016,10,13,3,8,0,fall,13.33,54,93,0,0,30.1,0,0,1,11
2016,10,13,4,9,0,fall,12.22,54,100,5,0,30.1,0,0,2,12
2016,10,13,5,75,0,fall,12.71,54.62,99.12,2.62,0,30.1,0,0,2,79
2016,10,13,6,283,0,fall,12.78,55,100,3,0,30.1,0,0,4,293
2016,10,13,7,913,0,fall,12.78,55,100,6,0,30.1,0,0,4,933
2016,10,13,8,1236,0,fall,12.78,55,100,5,0,30.1,0,0,4,1306
2016,10,13,9,488,0,fall,14.03,57.25,100,5.75,0,30.1,0,0,2,580
2016,10,13,10,230,0,fall,15,58,96,7,0,30.1,0,0,2,344
2016,10,13,11,273,0,fall,17.78,58,80,9,0,30.1,0,0,2,404
2016,10,13,12,405,0,fall,18.89,57,73,7,0,30.1,0,0,2,559
2016,10,13,13,333,0,fall,18.89,58,75,7,0,30.1,0,0,2,477
2016,10,13,14,315,0,fall,20.56,58,68,0,0,30.1,0,0,2,477
2016,10,13,15,389,0,fall,21.11,56,61,10,0,30.1,0,0,2,585
2016,10,13,16,742,0,fall,22.22,56,57,13,0,30.1,0,0,1,961
2016,10,13,17,1416,0,fall,22.22,57,59,13,0,30.1,0,0,1,1673
2016,10,13,18,1244,0,fall,21.11,56,61,12,0,30.1,0,0,1,1459
2016,10,13,19,672,0,fall,19.44,56,68,9,0,30.1,0,0,1,795
2016,10,13,20,416,0,fall,18.89,56,70,14,0,30.1,0,0,1,485
2016,10,13,21,326,0,fall,17.22,54,72,13,0,30.2,0,0,1,357
2016,10,13,22,207,0,fall,16.67,51,67,15,23,30.2,0,0,1,241
2016,10,13,23,113,0,fall,15.56,48,64,12,0,30.2,0,0,1,132
2016,10,14,0,188,0,fall,13.33,47,72,0,0,30.4,0,0,2,220
2016,10,14,1,107,0,fall,13.33,42,60,15,0,30.3,0,0,1,165
2016,10,14,2,20,0,fall,12.78,42,62,15,0,30.3,0,0,1,26
2016,10,14,3,14,0,fall,11.67,43,69,9,0,30.3,0,0,1,16
2016,10,14,4,11,0,fall,10.56,42,71,7,0,30.3,0,0,1,19
2016,10,14,5,53,0,fall,10,42,74,6,0,30.3,0,0,1,57
2016,10,14,6,229,0,fall,9.44,43,80,8,0,30.3,0,0,1,234
2016,10,14,7,716,0,fall,10,42,74,7,0,30.3,0,0,1,746
2016,10,14,8,1128,0,fall,10,42,74,8,0,30.4,0,0,1,1187
2016,10,14,9,586,0,fall,11.67,44,71,10,0,30.4,0,0,1,674
2016,10,14,10,273,0,fall,13.89,42,57,9,0,30.4,0,0,1,431
2016,10,14,11,331,0,fall,15,41,51,6,0,30.4,0,0,1,541
2016,10,14,12,392,0,fall,16.11,39,44,7,0,30.4,0,0,1,544
2016,10,14,13,389,0,fall,17.22,39,41,6,0,30.4,0,0,1,662
2016,10,14,14,360,0,fall,18.33,39,39,0,0,30.4,0,0,1,681
2016,10,14,15,472,0,fall,18.33,38,37,0,0,30.3,0,0,2,743
2016,10,14,16,806,0,fall,18.33,38,37,0,0,30.3,0,0,2,1116
2016,10,14,17,1192,0,fall,18.33,40,40,5,0,30.3,0,0,2,1504
2016,10,14,18,908,0,fall,17.78,39,40,3,0,30.3,0,0,2,1139
2016,10,14,19,536,0,fall,16.11,43,52,6,0,30.3,0,0,2,620
2016,10,14,20,299,0,fall,15.56,41,49,3,0,30.3,0,0,2,435
2016,10,14,21,231,0,fall,13.89,44,62,3,0,30.3,0,0,2,319
2016,10,14,22,154,0,fall,14.44,45,62,0,0,30.4,0,0,2,226
2016,10,14,23,120,0,fall,13.33,47,72,0,0,30.4,0,0,2,166
2016,10,15,0,120,1,fall,13.33,51,84,5,0,30.3,0,0,1,149
2016,10,15,1,62,1,fall,13.33,48,75,0,0,30.4,0,0,2,77
2016,10,15,2,47,1,fall,12.78,48,77,0,0,30.4,0,0,2,60
2016,10,15,3,17,1,fall,11.67,48,83,3,0,30.4,0,0,2,26
2016,10,15,4,6,1,fall,12.22,47,77,0,0,30.4,0,0,1,10
2016,10,15,5,19,1,fall,11.67,48,83,0,0,30.4,0,0,1,21
2016,10,15,6,36,1,fall,10.56,48,89,0,0,30.4,0,0,1,39
2016,10,15,7,114,1,fall,10,47,89,0,0,30.4,0,0,1,133
2016,10,15,8,237,1,fall,10.56,48,89,5,0,30.4,0,0,1,297
2016,10,15,9,375,1,fall,11.67,49,86,3,0,30.4,0,0,1,528
